section	pattern	class_or_bucket	trials_or_N	detected_or_value	rate_or_h_diag	wilson_low_or_h_cond	wilson_high_or_mi
detection	Diagonal	Random(8)	10000	10000	1.000000	0.999616	1.000000
detection	Diagonal	Random(32)	10000	10000	1.000000	0.999616	1.000000
detection	Diagonal	Burst(16)	10000	10000	1.000000	0.999616	1.000000
detection	Diagonal	Burst(32)	10000	10000	1.000000	0.999616	1.000000
detection	Diagonal	EvenBit(16)	10000	10000	1.000000	0.999616	1.000000
detection	Diagonal	DiagonalOnly(8)	10000	10000	1.000000	0.999616	1.000000
detection	AntiDiagonal	Random(8)	10000	10000	1.000000	0.999616	1.000000
detection	AntiDiagonal	Random(32)	10000	10000	1.000000	0.999616	1.000000
detection	AntiDiagonal	Burst(16)	10000	10000	1.000000	0.999616	1.000000
detection	AntiDiagonal	Burst(32)	10000	10000	1.000000	0.999616	1.000000
detection	AntiDiagonal	EvenBit(16)	10000	10000	1.000000	0.999616	1.000000
detection	AntiDiagonal	DiagonalOnly(8)	10000	10000	1.000000	0.999616	1.000000
detection	Permuted	Random(8)	10000	10000	1.000000	0.999616	1.000000
detection	Permuted	Random(32)	10000	10000	1.000000	0.999616	1.000000
detection	Permuted	Burst(16)	10000	10000	1.000000	0.999616	1.000000
detection	Permuted	Burst(32)	10000	10000	1.000000	0.999616	1.000000
detection	Permuted	EvenBit(16)	10000	10000	1.000000	0.999616	1.000000
detection	Permuted	DiagonalOnly(8)	10000	10000	1.000000	0.999616	1.000000
detection	Hadamard	Random(8)	10000	9960	0.996000	0.994558	0.997061
detection	Hadamard	Random(32)	10000	9960	0.996000	0.994558	0.997061
detection	Hadamard	Burst(16)	10000	9974	0.997400	0.996193	0.998225
detection	Hadamard	Burst(32)	10000	9945	0.994500	0.992848	0.995772
detection	Hadamard	EvenBit(16)	10000	9962	0.996200	0.994789	0.997230
detection	Hadamard	DiagonalOnly(8)	10000	8114	0.811400	0.803614	0.818947
entropy	Diagonal	bucket8	100000	17.330981	17.330981	9.331040	7.999941
entropy	Diagonal	bucket16	100000	17.330954	17.330954	1.506732	15.824222
entropy	Diagonal	bucket32	100000	17.330926	17.330926	0.000054	17.330872
entropy	AntiDiagonal	bucket8	100000	17.330954	17.330954	9.330831	8.000123
entropy	AntiDiagonal	bucket16	100000	17.330954	17.330954	1.503772	15.827182
entropy	AntiDiagonal	bucket32	100000	17.330981	17.330981	0.000000	17.330981
entropy	Permuted	bucket8	100000	17.330954	17.330954	9.330776	8.000178
entropy	Permuted	bucket16	100000	17.330899	17.330899	1.506493	15.824406
entropy	Permuted	bucket32	100000	17.330899	17.330899	0.000054	17.330845
entropy	Hadamard	bucket8	100000	7.999841	7.999841	7.823439	0.176403
entropy	Hadamard	bucket16	100000	8.000074	8.000074	1.501943	6.498131
entropy	Hadamard	bucket32	100000	8.000107	8.000107	0.000027	8.000080
